Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Javi Puado,ESP,FWMF,Espanyol,24,19,1152,0.23,0,3,0,0,0.08,0,20.5,15.8,0.63,1.72,26.7,0.55,0.16,0.7,0.7,0,2.19,0.63,0.94,0.94,0
Arnau Puigmal,ESP,MFDF,Almería,22,11,277,0.97,0,0,0,0,0,0,41.6,30,0.32,0.97,25,1.29,0.32,0.32,0.65,0.32,1.94,0.32,2.26,2.58,0
Domingos Quina,POR,MF,Elche,23,10,275,0.97,0.32,0,0,0,0,0,47.4,39.4,0,0.32,0,0.97,0.65,0.32,1.61,0,1.94,0,3.55,1.94,0
Antonio Raillo,ESP,DF,Mallorca,31,20,1800,0.3,0,1,0,0,0,0,36.6,31.4,2,1.55,56.3,1.2,0.8,5,1.2,0,0.3,0.15,0.8,0,0.05
Predrag Rajkovi?,SRB,GK,Mallorca,27,21,1890,0.1,0,0,0,0,0,0,33.9,21.6,0.05,0,100,0,0,0.57,0.05,0.05,0,0,0.14,0,0
Ivan Rakiti?,CRO,MF,Sevilla,34,17,945,0.29,0.1,1,0.1,0.1,0.19,0,66.3,54.2,1.05,0.67,61.1,2.29,1.43,1.05,1.14,0,1.62,0.57,1.33,2.76,0
Largie Ramazani,BEL,FWMF,Almería,21,19,1039,0.35,0,2,0,0.09,0,0,20.5,13.9,0.17,1.04,14.3,0.87,0.61,0.17,1.83,0,2.52,1.22,0.87,1.3,0
Chris Ramos,ESP,MF,Cádiz,26,1,21,0,0,0,0,0,0,0,15,10,0,5,0,0,0,0,10,0,0,0,0,0,0
Raphinha,BRA,FW,Barcelona,26,19,959,0.28,0,4,0,0,0.37,0,59,43.8,0.37,0.47,44.4,1.21,1.03,0.75,0.75,0,3.64,1.03,1.59,7.76,0
Sergio Reguilón,ESP,DF,Atlético Madrid,26,4,87,2,1,0,0,0,0,0,61,48,3,1,75,3,2,0,1,0,0,0,3,5,0
Pepe Reina,ESP,GK,Villarreal,40,5,450,0.2,0,0,0,0,0,0,37.4,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Reinier,BRA,MFFW,Girona,21,7,313,0.29,0,1,0,0,0,0,33.1,26.6,0.29,1.43,16.7,1.71,1.14,0.57,0.57,0,1.14,0.57,2.29,0,0
Karim Rekik,NED,DF,Sevilla,28,10,664,0.14,0,1,0,0,0.14,0,63.6,59.9,1.49,0.54,73.3,0.27,0.14,1.76,1.76,0,0.68,0.14,0.41,0.14,0
Álex Remiro,ESP,GK,Real Sociedad,27,20,1800,0.05,0,0,0,0,0,0,36,25.6,0.2,0,100,0,0,0.55,0,0,0,0,0,0,0
Alejandro Revuelta Montero,ESP,DF,Getafe,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chadi Riad,ESP,MF,Barcelona,19,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nico Ribaudo,ESP,FWMF,Espanyol,21,14,381,0.48,0,0,0,0,0,0,28.8,22.1,1.19,3.33,26.3,1.43,1.19,0.24,2.86,0,1.9,0.24,2.86,1.19,0
Diego Rico,ESP,DF,Real Sociedad,29,13,1044,0.17,0,0,0,0,0,0,54.6,41,1.29,0.52,71.4,1.72,1.12,3.36,1.38,0,0.34,0.09,1.81,2.76,0
Rodrigo Riquelme,ESP,MFFW,Girona,22,20,1271,0,0,3,0,0,0.07,0,27.8,19.5,0.35,0.78,31.3,0.71,0.07,0.07,1.21,0,2.41,0.92,1.56,2.41,0
Sergi Roberto,ESP,DF,Barcelona,31,12,544,0.17,0,2,0,0,0,0,71.8,66,0.17,0.33,33.3,1.33,1.17,1.17,1,0,1,0.5,0.83,1.67,0
Lucas Robertone,ARG,MF,Almería,25,20,1487,0.3,0,1,0,0,0.18,0,42.7,32.7,0.73,1.27,36.4,1.58,1.03,1.15,1.45,0,1.39,0.3,2.67,4.36,0
Joel Roca,ESP,MFFW,Girona,17,4,67,1.43,0,0,0,0,0,0,44.3,32.9,0,0,0,2.86,2.86,1.43,1.43,0,2.86,0,5.71,0,0
Enzo Roco,CHI,DF,Elche,30,15,1155,0.23,0,0,0,0,0,0,40.2,33.4,2.27,1.09,67.4,1.33,0.7,2.81,1.8,0.08,0.47,0.08,0.63,0,0
Rodrigo,ESP,FWMF,Betis,22,16,902,0,0,2,0,0,0.1,0,45.3,38.6,0,0.8,0,0.8,0.7,0.1,0.4,0,0.8,0.3,2.3,2.2,0.1
Ángel Rodríguez,ESP,FWMF,Mallorca,35,8,208,0,0,0,0,0,0,0,18.3,13.9,3.04,0.87,77.8,0.43,0.43,0.43,0.87,0,3.04,0.87,1.3,0.43,0
Óscar Rodríguez Arnaiz,ESP,MF,Celta Vigo,24,19,1198,0.23,0,2,0,0,0,0,55.6,43.9,0.68,1.05,39.1,1.73,1.5,0.75,1.13,0,2.26,1.05,1.5,4.36,0
Dani Rodríguez,ESP,MF,Mallorca,34,20,1174,0.38,0,1,0,0,0.15,0,29.6,23.7,0.31,1.54,16.7,1.92,0.92,0.77,2.08,0,0.85,0.38,1.38,1.23,0
Guido Rodríguez,ARG,MF,Betis,28,18,1478,0.24,0,0,0,0,0,0,52.1,45.2,1.4,1.04,57.5,2.93,1.89,2.32,1.28,0,0.55,0.24,1.65,0.3,0
Rodrygo,BRA,FW,Real Madrid,22,18,1189,0.08,0,4,0.08,0.08,0.38,0,36.6,31.7,0.76,0.83,47.6,0.91,0.45,0.23,0.98,0,3.79,0.98,1.89,0.91,0.08
Iván Romero,ESP,MF,Sevilla,21,1,11,10,0,0,0,0,0,0,30,10,10,0,100,0,0,0,10,0,0,0,10,0,0
Oriol Romeu,ESP,MF,Girona,31,17,1530,0.29,0,1,0,0,0,0,50.5,43.9,1.06,1.12,48.6,2.47,1.47,1.06,2.06,0.06,0.94,0.18,0.65,0.65,0
Rubén,ESP,DFMF,Espanyol,22,9,352,0.26,0,0,0,0,0.26,0,32.6,22.3,1.79,0.26,87.5,3.33,1.79,2.31,1.54,0,1.54,0,0.51,4.62,0
Antonio Rüdiger,GER,DF,Real Madrid,29,18,1226,0.07,0,1,0,0,0,0,58.8,54,1.62,0.59,73.3,0.51,0.44,2.87,0.29,0,1.03,0.22,0.15,0.15,0
Aitor Ruibal,ESP,DFFW,Betis,26,17,827,0.33,0,0,0,0,0,0,46.2,36,0.65,0.98,40,2.93,1.52,2.93,1.74,0,0.98,0.22,0.98,1.2,0
Víctor Ruiz,ESP,DF,Betis,34,6,362,0,0,0,0,0,0,0,46,37.8,2.75,1.25,68.8,0.25,0,5.75,0.25,0,0.25,0,0.25,0,0
Gerónimo Rulli,ARG,GK,Villarreal,30,14,1260,0.07,0,0,0,0,0,0,38.8,33.1,0.21,0,100,0,0,0.43,0,0,0,0,0.07,0,0
Franco Russo,ARG,DF,Mallorca,28,3,145,0,0,0,0,0,0,0,37.5,28.8,1.88,1.25,60,1.25,0.63,3.13,0,0,0,0,1.25,0,0
Youssouf Sabaly,SEN,DF,Betis,29,14,996,0,0,0,0,0,0,0,54.7,45.2,0.36,0.72,33.3,2.25,0.99,2.43,0.99,0,0.45,0.09,1.89,1.08,0
Umar Sadiq,NGA,FW,Almería,26,3,240,0.37,0,2,0,0,0,0,13.3,8.15,1.48,3.7,28.6,0,0,1.11,3.33,0,2.59,1.11,0.74,0,0
