Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Aleix Vidal,ESP,MFFW,Espanyol,33,15,732,0.49,0,0,0,0,0,0,29.8,20.7,0.25,0.74,25,0.86,0.25,1.23,1.73,0,0.37,0.25,1.36,2.72,0
Nacho Vidal,ESP,DF,Osasuna,28,13,891,0.2,0,0,0,0,0,0,46.4,35.8,1.82,0.71,72,2.22,1.21,2.12,2.12,0,0.81,0.1,1.21,2.02,0
Toni Villa,ESP,MF,Valladolid,28,2,91,0,0,0,0,0,0,0,32,20,0,0,0,6,3,0,0,0,0,0,1,5,0
Toni Villa,ESP,MFFW,Girona,28,17,633,0.29,0,1,0,0,0.14,0,33.1,25.3,0.14,0.43,25,3.29,2.14,0.29,0.71,0,2.14,0.43,2.29,2.71,0
Asier Villalibre,ESP,FW,Athletic Club,25,5,97,0,0,0,0,0,0,0,16.4,10,1.82,1.82,50,0,0,0.91,2.73,0,3.64,0.91,0.91,0,0
Gonzalo Villar,ESP,MF,Getafe,24,4,101,0.91,0,0,0,0,0,0,60,53.6,0,1.82,0,0.91,0.91,0.91,6.36,0,0,0,0.91,0,0
Iván Villar,ESP,GK,Celta Vigo,25,1,90,0,0,0,0,0,0,0,33,19,0,0,0,0,0,1,0,0,0,0,0,0,0
Daniel Vivian,ESP,DF,Athletic Club,23,15,1265,0.21,0,1,0,0,0,0,50.4,40.9,1.63,2.34,41.1,2.06,1.21,3.97,1.35,0,0.5,0.14,0.85,0.28,0
Shon Weissman,ISR,FW,Valladolid,26,15,747,0.12,0,1,0,0,0,0,11,8.43,0.48,2.77,14.8,0.24,0.12,0.84,0.6,0,2.17,0.84,0.96,0.24,0
Iñaki Williams,GHA,FW,Athletic Club,28,19,1484,0,0,5,0,0.06,0.12,0,22.8,14.5,0.97,1.09,47.1,0.79,0.55,0.91,1.09,0,2.42,0.97,0.97,2.06,0
Nico Williams,ESP,FWMF,Athletic Club,20,21,1641,0.05,0,4,0,0,0.22,0,32.3,21.8,0.49,0.99,33.3,1.04,0.49,0.33,0.77,0,2.14,0.71,0.99,5.55,0.05
Axel Witsel,BEL,DFMF,Atlético Madrid,34,17,1251,0.14,0,0,0,0,0,0,55.1,51.2,1.58,1.22,56.4,0.94,0.58,3.31,0.72,0,0.36,0,0.65,0.14,0
Jawad El Yamiq,MAR,DF,Valladolid,30,12,607,0,0.15,0,0,0,0,0,51,43.1,2.24,1.34,62.5,1.49,0.9,6.57,0.6,0,0.75,0,0.3,0,0
Joseba Zaldúa,ESP,DF,Cádiz,30,10,639,0.56,0,0,0,0,0.14,0,39,26.8,2.68,1.69,61.3,2.11,1.13,3.1,1.55,0,0.14,0,0.56,1.69,0
Oier Zarraga,ESP,MFFW,Athletic Club,24,15,485,0.56,0,0,0,0,0,0,40.2,30.7,1.3,1.3,50,0.93,0.74,0.56,1.85,0,2.41,0.56,1.85,3.15,0
Igor Zubeldia,ESP,DF,Real Sociedad,25,16,1257,0.36,0,1,0,0,0.07,0,52.7,45.8,2,1.57,56,1.43,0.86,4.07,1.64,0,0.29,0.07,0.5,0.21,0
Martín Zubimendi,ESP,MF,Real Sociedad,24,19,1601,0.34,0,1,0,0,0.11,0,53.4,45,2.19,0.9,70.9,1.97,1.07,1.85,1.63,0,0.28,0.11,0.84,0.11,0
