Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Joe Gomez,ENG,DF,Liverpool,25,17,1106,0.24,0,0,0,0,0,0,83.7,70.7,3.01,2.2,57.8,1.87,1.38,3.17,1.06,0.08,0.24,0,0.33,0.24,0
Sergio Gómez,ESP,DFMF,Manchester City,22,5,111,0,0,0,0,0,0.83,0,73.3,60,0.83,1.67,33.3,1.67,0.83,3.33,0,0,1.67,0,0,3.33,0
Anthony Gordon,ENG,MFFW,Newcastle Utd,21,2,77,1.11,0,0,0,0,0,0,35.6,28.9,0,2.22,0,1.11,1.11,0,2.22,0,3.33,0,3.33,0,0
Anthony Gordon,ENG,FW,Everton,21,16,1095,0.49,0,3,0,0,0,0,23,15.8,0.74,2.38,23.7,2.79,1.8,0.9,1.64,0,2.13,1.31,1.23,2.05,0
Demarai Gray,ENG,FWMF,Everton,26,20,1679,0.05,0,3,0.05,0.05,0.05,0,33.8,23.1,0.37,0.96,28,0.86,0.7,0.8,0.53,0,1.93,0.75,1.5,7.17,0
Jack Grealish,ENG,FW,Manchester City,27,15,1040,0.09,0,2,0,0,0.26,0,47.9,40.1,0.69,0.43,61.5,1.21,0.69,0.34,1.21,0,1.64,0.34,3.45,3.02,0
Sam Greenwood,ENG,MFFW,Leeds United,21,12,318,0.29,0,1,0,0,0.57,0,40.9,25.1,0.29,0.86,25,2.57,1.43,0.29,2.29,0,3.14,0.57,0.57,8,0
Pascal Groß,GER,MFDF,Brighton,31,21,1821,0.1,0,6,0,0,0.15,0,61.4,47.1,0.15,1.14,11.5,1.73,0.89,0.45,0.84,0.05,1.04,0.5,0.5,6.68,0
Vicente Guaita,ESP,GK,Crystal Palace,36,22,1980,0.05,0,0,0,0,0,0,32.1,23,0.41,0.05,90,0,0,0.36,0.05,0,0,0,0.14,0,0
Gonçalo Guedes,POR,FWMF,Wolves,26,13,707,0.13,0,1,0,0,0.13,0,25.4,17.5,0.89,1.39,38.9,1.01,0.76,0.25,1.39,0,2.41,0.76,3.04,3.42,0
Marc Guéhi,ENG,DF,Crystal Palace,22,21,1890,0.33,0,0,0,0,0,0.05,57,49.4,1.24,1.1,53.1,1.57,0.76,3.71,0.71,0,0.33,0.19,1.1,0,0
